brandon bass ||| what the hell is brandon bass think ||| brandon bass ha 5 person foul ||| fals
sac ||| congrat to sac king fan ||| why yall forc the king to stai in sac town smh ||| fals
stella ||| hello stella can you follow me pleas ||| stella do u hate me ||| fals
game of throne ||| calisi in game of throne is gorgeou ||| the tv show game of throne ha us a prop of georg w ||| fals
mc hammer ||| mc hammer is at the game aha ||| mc hammer in the golden state crowd ||| true
central michigan ||| first round draft pick from central michigan ||| central michigan produc the first pick in the draft ||| true
disnei channel ||| omg lizzi mcguir is back on disnei channel ||| omg omg omg omg lizzi mcguir is on disnei channel ||| true
iron man 3 ||| i need to go see iron man 3 ||| s iron man 3 is out in the uk ||| fals
steve gleason ||| steve gleason of the saint is so inspir ||| steve gleason make complain about a draft pick is petti ||| fals
faa ||| hous vote on bill to end faa furlough ||| on chart show how bad the faa sequest cut ar ||| fals
peter pan ||| peter pan is on you gui ||| oh my god peter pan is on ||| true
joan ||| world s most awkward hug joan ||| i actual realli enjoi the joan athom scene ||| fals
candic ||| candic s voic is beauti ||| candic is the shit in the toilet water ||| fals
mcmann ||| tko in the first great perform saramcmann ||| mcmann win with a nice crucifix to get the tko ||| true
pacif rim ||| new pacif rim trailer look so so so good ||| new trailer for pacif rim look amaazinggg ||| true
